,text,misogynous
106,"<MENTION_4> <MENTION_5> Hell, this stupid bitch <MENTION_6> said I wasn't even black, but a white person in blackface just because I said the NA isn't racist.",1
107,"No apple, I don't want an amber alert for a stupid 16 yr old bitch that got into a 21 yr old pedos car .",1
108,I’m the big dick motherfuckin bitch hoe <URL>,1
109,"Eric Cartman: How 'bout we sing, 'Kyle's Mom is a stupid bitch' in D Minor.",1
110,"lil is beautiful, gays are cute, i'm very strong, and you're stupid bitch",1
111,Frost is a stupid bitch.,1
112,Thots be like 'OMG she's such a slut' #FirstofAll didn't you fuck the whole football team???,1
113,"bitch if u dont hop off my dick and go do somethin with yo loud mouth ass , mothball… <URL>",1
114,boo seungkwan a visual hole ???? bitch i think the fuk not #SVT_PROJECT_VOCAL #PINWHEEL <URL>,1
115,Bitch you stupid but you aint stupid stupid 😂😂😂 <URL>,1
116,Then da cop decides to get in da car and try to make da girl suck his dick in da backseat for what reason Idk smh had to beat this nigga ass,1
117,I hate this British woman of letters bitch,1
118,Cunt and demon bitch Betsy Devos is an evil evil antichrist lying warlock for oil and money <URL>,1
119,I don’t really appreciate some of you that participated in “Fine Women Friday” ; This is my personal opinion though & your Granny a hoe...,1
120,Happy 21st Birthday to my Slut🤘🏾🎂 you already know what we on😈,1
121,Imagine getting your ass dragged by Kali Uchis bc you were being a rude ass bitch,1
122,Where's this bitch Gloria Steinem in all this abuse against women <URL>,1
123,your girlfriend a major snorter but that bitch ain't worth a quarter 😬,1
124,"Your girl is a hoe, she fucked all my bros",1
125,Omg he gave her his number and she didn't say no what a cunt The girl is the cunt for giving it to some random fucktard,1
126,"Lmao, went off on the whore groupie hoe in Scott’s bathroom. Yes bitch!",1
127,You’re in the middle of being a woman or being a bitch?,1
128,This bitch for real said you're not a woman without boobs.,1
129,Went to stupid bitch put one in upside down one side ways. #wtf £6 we'll spent #cunt <URL>,1
130,I hate coming to the city people real life know my car like pussy study yo bitch car 😩😂,1
131,i use to get sky at my dads house but his whore girlfriend never use to let me watch it,1
132,even my dreams cock block me like i killed and save this bitch 100 times just to die and start again bitch this aint mario smd,1
133,Dirty smelly cunt slut whores. Hope your old man rots in a cell.,1
134,"Getting her pussy and ass ate at the same time , now that's goals bitch",1
135,"lol, chop her head off and rape the bitch <URL>",1
136,disgusting little fuck bitch the only good thing about ur boring ass moview are the women in it. you owe everything to women so shut UP!!! <URL>,1
137,This pussy mine girl tell me you like Daddy dick.... 🙄 FIRST OF ALL WRONG HOLE FOO,1
138,Her hairy old cunt gets drilled by stiff dick <URL>,1
139,I moan as I watch your perfect blue pussy descend upon my big dick.,1
140,Suck my dick you stupid bitch.,1
141,Women are ridiculous lmao like bitch I’m 5’2. I’m sorry your crush went for a shorty 😂,1
142,I love your ass bitch <URL>,1
143,go rape your whore of a mother,1
144,"What a stupid bitch , talks utter shite this woman . pure fucking evil too .",1
145,Girls hear you say “fuckkk” during sex and think her pussy fire First of all hoe I’m really just feeling bad for cheating on my girl😂😂😂😂,1
146,Bitch fuck you too then 😭‼️that’s why I hope all your teeth fall out whore,1
147,then why tho?? u damn stupid hoe 😂,1
148,"Why is it whenever I talk to girls, they just cut off communication with me for no reason? And no explanation? O yea I know, cuz #WomenSuck",1
149,Why do women have periods? Because they deserve them,1
150,What takes up 12 parking spaces? 6 women drivers,1
151,Who makes the sandwiches at a feminist rally?,1
152,Why did God invent the yeast infection? So women know what it's like living with an irritating cunt,1
153,God doesn't hate gays he's just mad they found a loop hole in dealing with women,1
154,Why is a female like a laxative? They both irritate the shit out of you.,1
155,Why aren't women marching on the streets demanding the #draft for all women? Men know the answer. Women are lazy. <URL>,1
156,When you're flexin on these bitches <URL>,1
157,I need some new Atl hoes for the summer... Where the Atl bitches at,1
158,Too many women confuse their hearts with their vaginas,1
159,"Strippers tryin to get me to the champagne rm is my favorite thing.. ✋🏼 bitch please, you'll be paying for this dick by the end of the night",1
160,"People in airport bars always wanna tell you their life stories... STFU Bill, IDGAF about your stupid daughter and whore wife",1
161,"If she lets you put your penis in her vagina with no strings attached, have the common decency to treat her like a queen on her bday",1
162,"He cheated on you? That's nice. Now go sit in the corner, drink your lemonade and cry, bitch",1
163,"If I put my fingers inside of you and you won't taste yourself, you can bet your ass I'm not tasting you either",1
164,I hate it when waitresses call me 'sir'... Like yeah bitch that's what I wanted with my lunch... A hard fuckin dick,1
165,Bitches are always sayin 'it's the little things' until you have a -a little bank account -a little drinking problem -or a little dick,1
166,I treat women like fuck toys cause that's all they are to me,1
167,Pro Tip- Put all your bitches on a period tracker app so you know when to avoid they ass,1
168,you're too sweet ya sexy bitch 😘,1
169,You don't have to worry about angles anymore... These bitches out here face swapping with their friends tryna trick to ass,1
170,Bitches be postin pics of them in the bath after droppin a bath bomb in it lookin like they shit a smurf out,1
171,Head so sloppy had to get that bitch a bib <URL>,1
172,"No one gives less fucks than the guy that comments 'check your DM, ma' on bitches posts",1
173,Donald- you stupid bitch Hillary- you fuckin buffoon Donald- think they believe we hate each other? Ah fuck it lets go get a drink <URL>,1
174,"I don't catch feelings, I don't catch flights, but I do catch dudes slippin and fuck their girls",1
175,Ugly bitches always got their shit on private with a profile pic that has 97462583047251538 filters on it,1
176,My uncle Vern said women get their peiods because it's the only way God could get rid of some of their evil #womenareevil #evilwomen!!,1
177,Correct me if I'm wrong but don't all you bitches wanna be mermaids? How come no stink on social media for the mermaid emoji then?,1
178,THERE ARE WOMEN MAKING BURRITOS AT THE JACKSONVILLE CHIPOLTLE!! DO NOT EAT THERE!! #womencantmakeburritos #sheforgottheguacamole #badburri!!,1
179,WASNT IT GEORGE WASHINGTON WHO SAID 'FUCK BITCHES GET MONEY'?,1
180,Feminism is cancer. #TheRedPill is chemo. Burn those bitches away.!,1
181,"Today my daughter got her period. I guess It's time to throw her away and get a new one, right? LOL Fuck her, stupid bitch kid. I hate my !!",1
182,We can't have a woman in the White House. What if she starts PMSing and drops bombs everywhere?/,1
183,If a woman doesn't want you just unleash your charm. Women are weak and will cave after almost nothing.;,1
184,Women are beautiful to me when they are silent. Why do they have to speak up and ruin things??!,1
185,Its a good thing I always wear a glove on my left hand because if I EVER had to touch hands with a woman my IQ would totally drop to 0 Lol,1
186,"The only person with a vagina that I value is my MOTHER, and even she is a dumb retard. Women are oNLY good for making babies.#",1
187,"I'm pretty sure it was Abe Lincon who said 'Fool me once bitch, shame on you. Fool me twice, I'm no longer a man and am now a dumb woman'*",1
188,I've never in my LIFE met a woman who was smarter then ME. Maybe that has to do with their small retard brains? #womenaredumb..,1
189,Want to know what's really 'problematic' ?? Women freaking out over nothing! #triggered #idiots@,1
190,IS there a thing in the constituion about women shutting the hell up? COME ON! #shutthehellupwomen..,1
191,"NEXT TIME I SEE A WOMAN IN PUBLIC TRYING TO 'GO ABOUT HER DAY' I'll remind her that without men, this society would just be a bunch of WOM",1
192,WOW can't believe all these women riding the subway today? Shouldn't these bitches be making sandwiches LOL #ihatefemales..,1
193,"The last time I saw a woman of value was at the strip club, and she was worth $1 LOL;",1
194,These feminists are just too-ugly sluts who want attention!*,1
195,The more WOMEN in the workplace means LESS WOMEN IN THE KITCHEN. Like and retweet if you see this as a big problem #ilovefood #homecookedm#,1
196,I have never once met a woman whose mouth wasn't totally full of BULLSHIT. Stupid bitches!!,1
197,"The Olympics was fun, except for the fact that I would never watch a woman play sports.@",1
198,I am PROUD to be an #MRA. If stupid feminists can complain I should be able to complain just as loud. It's only fair.#,1
199,Women want to be equal so now they don't shave their legs??? Gross*,1
200,is this to do with crazy bitch Hillary or no?,1
201,YOU FVCKING CUNT BITCH!!! APOLOGIZE! <MENTION_2>Politics,1
202,dont u have anything better to do u cunt bitch,1
203,"fuck you, you racist bitch, and cunt piece of shit, glad we know now where your entire family stands on social issues",1
204,Black Bitch Gets Cock Shoved In Her Waiting Cunt <URL>,1
205,I know fucker bitch i rode with you one time remember cunt whore? Never again will i fuck around with the fuck around 😂😂,1
206,Calling someone a bitch and a cunt is not the way to do it.,1
207,Fucking cunt where's my belt bitch suck my dick and make me cum on your mouth,1
208,I hate you you fucking cunt bitch how fucking dare you I hope you wake up with mad cott… <URL>,1
209,Shut up cunt bitch whore,1
210,Bitch is a ugly 3rd world kunt wit no ass and flopper jugs. Hate her,1
211,"niggas think bitches supposed to suck their lil ass dick and not give a bitch head too, like that's not how it works whore !!",1
212,You ain’t shit bitch shut your whore mouth,1
213,You mother fucking piece of trash stupid fucking idiot hoe i hope you fucking die in hell son of a father fucking fuck bitch whore you fucki,1
214,What a suprise my Ex Wife is being a Whore for haloween wait until the kids turn 18 karen FUCK YO.u Whore Bitch You Lying Steali,1
215,How about that liberal whore Chelsea Handler? That bitch definitely sounds ignorant!,1
216,"then you bitch m complain when you get them haha stop being a little bitch and just accept what you are, you filthy whore 😎",1
217,I just need women who know how to treat a bottom beta bitch girl like me right. That aren't afraid to take what they want.,1
218,All women have the incredible ability to determine if another woman is a bitch based solely on her shoes.,1
219,🤤I need a bitch thats gon pay all my bills I don’t like broke women 🤢🚮😷🚮🤧,1
220,Im not for abusing women but i swear to odin this bitch is about to have a permanant imprint of my fist in her face,1
221,"She, Jane Fonda the traitorous bitch, is one of the most despicable women to ever walk the face of… <URL>",1
222,I never understood the big deal about making a guy a plate at a get -together/cookout. Shit after the children and women eat im in that bitch,1
223,Women dont use their pussy to manipulate men... Women are saints .. cock riders bitches but saints ... LOLLLL,1
224,It’s called polio. I hate calling women this word but your a ‘bitch’ in this instance.,1
225,This cunt with a dick is a perpetual race whore who wouldn't know an historical fact if her pathetic life depended on it 😉🖕✊,1
226,literally you keep minseok’s name out of your dirty whore mouth you can shit talk me all you want you cunt but leave him alone.,1
227,This fat bitch be really trying it when it comes to my kids i just wanna drag that fat whore,1
228,so my Chloe don't want to see me win she unfollowed because I made a post i HIT 100 FOLLOWERS and then she unfollowed me bitch fuck u whore,1
229,LMFAO lil biddy whores prison rape bitch im whose bitch,1
230,keyshia ka'whore is a bird. gucci shoulda gave that bitch back to yo gotti,1
231,Bitch show me attention too you whore,1
232,"We've been fucking this whore, Mother earth for awhile, She's a filthy bitch anyway, Rotting her from the inside out, We are at our end.",1
233,'Oh said a bitch who lost everything. You whore.',1
234,Lol omg you’re such a whore. 😂😂😂 “Who does that Sara?” Blah blah bitch look at yourself😂😂🤘🏼,1
235,listen here dumb fucker you dont call rania “whore” and youre the only crazy bitch here😘 deactivate pls bc nobody c… <URL>,1
236,"A man, knows the difference between a woman and a lil ol whore bitch #100",1
237,"Hollywood women would be whores and crack addicts. When caught, they were raped. That is their story. <URL>",1
238,"Alyssa Milano, a brainless whore l, isn't empower women in any way. Women in science mathematics engineering and medicine are actually .",1
239,Women are sacred as mothers and wives. Everyone else is a degenerate whore who gets what… <URL>,1
240,"A tweet about 'rape jihaad'. Since non -muslim women without hijab are whores, they must be raped and be… <URL>",1
241,Literally just got hit by a car bc this dumb blonde bitch was on her phone and she didn't even stop after HAHAHAHA what a cunt,1
242,I WILL NEVER UNDERSTAND WHY PEOPLE CAN’T JUST FUCKING MIND THEIR OWN GODDAMN BUSINESS WHY YOU ALL UP IN MY BARBECUE BITCH FOH YA CUNT,1
243,Haven't talked to my kids in days because my bitch ass #babymomma is a cunt! #meetoo,1
244,no you're just a dumb bitch that obviously doesn't know how to throw underhand. God you're a cunt <URL>,1
245,block me bitch I LOVE TRUMP U IGNORANT CUNT!!!!,1
246,'<PERSON_1> is a dumb cunt dyke bitch hoe. Waste of a pick. Stupid idiot.' -Coach Q,1
247,'Sable is a Whore and a Cunt!' - Sunny Destroys Sable: <URL> via,1
248,Oh nvm i didn't know omega & okada was in a pic together bitch fuck you slutbag whore cunt,1
249,the most worthless whore and bastard CUNT on <URL>,1
250,This bitch Cunt Whore Slut every type of name deserves to fucking die u Wildin for this <URL>,1
251,Teen Whore Lily Rader Gets Nailed And Creamed Sexy blonde loves rubbign her juicy cunt,1
252,I saw a women driving whilst speaking on the phone I cursed that cunt :),1
253,This cunt? Probably blames women for getting raped,1
254,Most annoying cunt ever and I never call women that.,1
255,Normal woman degenerates into a cunt. <MENTION_4> <MENTION_5> <URL>,1
256,"This woman is a cunt , when we cut trees that’s ignorant and selfish too, every family buying 2 -3 c… <URL>",1
257,You are a major Prick! No woman should ever be made to feel scared like that. But fuck you... you didn't ruin my day! Cunt!,1
258,Woman she is a cunt,1
259,Why do people still like Chris Brown? He’s a fucking woman beating cunt,1
260,Hey look its the woman who wants to get famous for crying about an ass slap. You truly are a worthless cunt.,1
261,Terrible cunt sticking up for tory sex pests she has no shame lower than a snakes belly vermin woman #marr,1
262,She isn’t racist unlike your somlalia bitch friend and you always causing shit.. bye slut,1
263,Fuck you slut bitch hoe! He aint giving a shit what you think,1
264,"Twinkle twinkle little slut, you've got just what this BITCH wants! you & will have lots of fun, you'll kiss my neck & lick My bum! #findom",1
265,Don't you hate when bitches act like sluts but aren't even down? Like that bitch from American Beauty.,1
266,WHITE CRACKER BITCH YOUR MOMS A SLUT BITCH,1
267,The difference is you promote being a slut you dumb bitch you should go fuck yourself and stick some a… <URL>,1
268,Where is that <PERSON_1> slut bitch? That bitch is amazing,1
269,jayceejuice is a whore does she have sex talk with you too? Does she send you picks also she's a fucking slut,1
270,Real old whore slut and granny with thirsty vagina <URL>,1
271,Yet another fame hungry whore <PERSON_1>. More bullshit claims to give her tv time. Pathetic slut. Hope shes sent to jail #LockHerUp,1
272,Suck a whore you slut,1
273,I've noticed. Not all men are raping or harassing women but unfortunately that's… <URL>,1
274,I'm actually really happy your ass got pregnant and that you're having a shotgun wedding. Karma is a bitch you cheating skank,1
275,Skank traitor bitch,1
276,- little skank!! People here might not realize what a masochistic little whore you are. *frost pushed… <URL>,1
277,Punch that girl right in the skank,1
278,Do people laugh at this stupid woman & her crazy hats in the U.S? We're finding it hysterical here in the U.K.,1
279,#MaleDominance let's get it trending!,1
280,"Women: 'started from the bottom, still here'",1
281,When you suck dick in the limo right before the red carpet... <URL>,1
282,Katie - You are a toxic bitch and will always be one. You got your way. I am going to be fired again anyways. You toxic bitch.,1
283,Bitch you can't keep up so stop trying,1
284,"Apparently, you /can/ turn a hoe into a housewife",1
285,Why you always actin mad? Always bringin' up my past You in your feelings about a hoe that don't matter Know that I'll give you my last,1
286,But you are one if the concubines whose reasoning capacities are embedded in your cunt,1
287,I'm just over here laughing at how this little ol' white girl came at Sam and thought she was gonna win... LIKE BITCH DO YOU KNOW WHO WE ARE,1
288,Sweet. Broke-assed bitch will shut her jizz-hole for once. Once.,1
289,"Apparently, once removed from packaging, you can see the strategically placed bloodied hole in the middle of that one.",1
290,Wow shut up you whore,1
291,"“What’s wrong you pathetic little slut, can’t take much of daddy’s cock like you thought you did? Can you?”",1
292,In Saudi &; Dubai if a man rape a woman with condom than semen isn't found in Vagina than how do Sharia Law tackle? I tell u punish the Woman,1
293,"' A HOE does ANYthing for ANY man, A FREAK does ANYthing for HER man, and A WOMAN does ANYthing for ONE man!'",1
294,It's a nice butt. But I didn't think you were a slut. I thought you might be a 300 lb man tweeting in your stained wife beater. 👊🏻,1
295,It's like it's always the ones YOU CARE FOR THE LEAST that be talking so much shit like bitch I'm not even paying attention to you lil whore,1
296,"Only men have a dick they can insert without consent, and women doing other shit. Not that women can't rape &amp; sexually harass either.",1
297,Celibacy to women = Searching for new dick,1
298,Told “that tight dress is what makes you a whore” 😍😍😍😍 <URL>,1
299,My grandma called her hoe she said bitch you a hoe yourself going with a married man and go to church every week LMFAOOOOOOOOOOOOOOOOOOOOOOO,1
300,I just wanna know why the girl dont like me 😭😂 What I ever do to you hoe? Other than give you rides and be nice to you 😂🤦🏻‍♀️ Hating ass hoe,1
301,How can a bitch fuck with a man who has a girlfriend .. A PREGNANT GIRLFRIEND LMAO fucking hoes,1
302,No girl is even capable of developing morals until they get the slut fucked out of them. Welcome to my generation,1
303,my girl did her little hoe magic & got us a guy to get us 3 GLASSES OF FUCKINH HARD LIQUOR so you know the party is… <URL>,1
304,loved her anyway and now she just a hoe. I love when they acting hard but pussy on the low.,1
305,"LOL, you do dress like a slut :-) you look excellent.It entertains me that you have the slutty dressing covered while I do the slutty acting",1
306,"Dont forget: in event of a woman accusing men of rape;under sharia you just dig a hole, tie her hands, put her in hole, stone her to death",1
307,"When a man gives his opinion, he's a man. When a woman gives her opinion, she's a bitch. - Bette Davis",1
308,dumbass: why don't women come forward about sexual assault? [women come forward] dumbass: WHORE! LIAR! WHAT WERE YOU WEARING? YOU PROBABLY ASKED FOR IT! dumbass: just don't understand why women don't come forward?,1
309,Me personally I would've dragged that girl down the stairs lol but she was getting it..beat that fat hoe 😂😂,1
310,That the only job a woman can have .. they the best at this job love ❤️ Dick Sucking,1
311,"7: because every single fucking woman in Austin, is nothing but a gold-digging bitch.",1
312,Bitch are you fucking kidding me??? So if women get hit by their husbands its cuz they're hitam?? Not bc he's an abusive asshole?? 😒😒 <URL>,1
313,Last night God took Dan out of the He She and now women won't find as much energy to bitch w/ about men. The bogus agenda needs to stop now,1
314,"sorry sweetie, but women are the causes of all problems",1
315,RT If you play field hockey there's a good chance you're a lesbian.,1
316,What do women and condoms have in common? If they're not on your dick they're in your wallet,1
317,We understand. They need to understand that men are born to be in control. Thanks for supporting our cause!,1
318,Good one Bob! Show her who the real boss is! And keep up the support for our cause.,1
319,Wow! Great video. Rare to find women who agree with us. Thanks for the support. #MaleDomination,1
320,RT Men are smarter than women that's why women always get played by men. #Truth,1
321,#didyouknow the male brain is 3.4 times larger than the female brain? #maledominance,1
322,"RT If you're a girl and don't make me food when I ask/tell, there's a good chance I might just hit you #MaleDominance",1
323,Women drivers no survivors,1
324,retweet to end womens suffrage,1
325,"rape is no joke and something we do not support, the kitchen needs to be cleaned by the way.",1
326,"This account was temporarily inactive due to an irrational woman reporting us to Twitter. What a lack of judgement, shocking. #YesAllMen",1
327,"How many feminists does it take to change a lightbulb? Trick question, feminists can't change anything",1
328,What's the difference between a blonde and a washing machine? A washing machine won't follow you around all day after you drop a load in it,1
329,Why do husbands die before their wives? Because they want to,1
330,What's the difference between a pencil arguing and a woman arguing? A pencil has a point,1
331,Why did God create lesbians? So feminists couldn't breed,1
332,What do you call a woman who has lost 95% of her intelligence? Divorced,1
333,Mathematicians know best (women have your man translate these symbols for you if you're confused) #YesAllMen <URL>,1
334,"thanks man, sometimes we gotta state the obvious for the women, this is a parody account #YesAllMen",1
335,Sexism goes both ways. some advice: stop whining and use your man's money for things other than mini skirts #YesAllMen,1
336,How are women and rocks alike? You skip the flat ones,1
337,#YesAllMen because every 14 seconds a man's butt is looked at without permission.,1
338,"For the viewers who are unable to read a bio, this account is for pure entertainment. Its a joke, like woman's rights. #YesAllMen",1
339,"air time for men =24 hours, women =0 hours. #yesallmen",1
340,When you join a relationship women leave this part out #YesAllMen <URL>,1
341,a women without a man is like a car without an engine; it doesnt work.,1
342,What do smart women do for a living? What they're told. #YesAllMen,1
343,Women want their companies to pay for birth control? Bullshit. Anal is free birth control. #YesAllMen,1
344,Feminists have a few valid arguments worth talking about. lol jk,1
345,#TeenWolf #menstruafacts Question of the Day: When does a #feminist forget feminism? Answer: When the restaurant check hits the table.,1
346,Idk what feminists are pissed about.. You get free access to our wallets and all you have to do in return is cook and suck our weiners.,1
347,#WomenAgainstFeminism #SomebodyToTris #MensHealth The #feminists are running scared. Men are fighting #feminism. <URL>,1
348,#Women have all the privileges. #Men have all the responsibilities. #ObviousChild End feminism today! <URL>,1
349,"Anti-feminist sign..... ('WOMEN' you want to deny men their balls/gender , here is a sign made by Men in response!) <URL>",1
350,"Show me a video/tv show were an Alpha Male, guy beats down a bad behaved women, it would be great so see that for once",1
351,When your girls telling you about her day and you really want a bj after <URL>,1
